일시,실효습도
20180107,36.580082999999995
20180108,37.867047
20180109,39.945792000000004
20180110,40.06812
20180111,41.198694
20180112,43.362282
20180113,44.550879
20180114,42.804093
20180115,43.465707
20180116,45.007983
20180117,53.742813000000005
20180118,52.225578
20180119,50.23383
20180120,48.525828000000004
20180121,46.630338
20180122,43.21303500000001
20180123,39.21531
20180124,39.869448000000006
20180125,34.618818000000005
20180126,36.283587000000004
20180127,30.313332000000003
20180128,27.897840000000002
20180129,28.832250000000002
20180130,31.683360000000004
20180131,34.230435
20180201,36.048573000000005
20180202,39.750123
20180203,45.171299999999995
20180204,40.905027000000004
20180205,37.80134400000001
20180206,37.731015
20180207,34.868244000000004
20180208,32.787819
20180209,32.473287
20180210,33.604632
20180211,35.425034999999994
20180212,36.48887400000001
20180213,37.49545500000001
20180214,38.42418000000001
20180215,36.59424
20180216,36.951603
20180217,37.146258
20180218,31.646547000000005
20180219,26.852868
20180220,29.31447
20180221,26.961045000000002
20180222,31.794119999999996
20180223,39.733233000000006
20180224,39.491471999999995
20180225,41.769378
20180226,49.275033
20180227,48.622254000000005
20180228,39.983019
20180301,40.405827
20180302,42.77163
20180303,45.375243
20180304,50.325363
20180305,45.341115
20180306,41.615454
20180307,48.768840000000004
20180308,58.81548
20180309,50.395899
20180310,47.805144
20180311,51.931059
20180312,54.343344
20180313,49.419734999999996
20180314,47.706413999999995
20180315,46.585983000000006
20180316,47.94389699999999
20180317,52.320150000000005
20180318,52.840977
20180319,54.933045
20180320,41.878347000000005
20180321,44.343333
20180322,47.20603500000001
20180323,47.463308999999995
20180324,44.620526999999996
20180325,51.368778
20180326,50.558475
20180327,50.270283
20180328,52.89748200000001
20180329,53.81484900000001
20180330,52.768938
20180331,51.55172700000001
20180401,52.415274000000004
20180402,51.031740000000006
20180403,49.739187
20180404,52.05342
20180405,58.21651800000001
20180406,58.838088000000006
20180407,59.903205000000014
20180408,58.626138000000005
20180409,59.207876999999996
20180410,49.42764000000001
20180411,43.48348200000001
20180412,44.816174999999994
20180413,40.129737
20180414,38.189873999999996
20180415,37.417785
20180416,35.300607
20180417,40.087947
20180418,50.004072
20180419,40.457724000000006
