지점,지점명,일시,평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa)
108,서울,2017-06-07,16,78,1842,91.4,18.3
108,서울,2017-06-08,13.3,38,1404,67.3,15.3
108,서울,2017-06-09,15.2,50,1334,69.8,17.3
108,서울,2017-06-10,7,14,1610,46.8,10.8
108,서울,2017-06-11,5.1,17,1504,33.8,8.8
108,서울,2017-06-12,9.1,25,1403,45.5,11.7
108,서울,2017-06-13,13.9,44,1525,63,15.9
108,서울,2017-06-14,13.9,38,1622,63,15.9
108,서울,2017-06-15,14.8,30,1423,62.4,16.8
108,서울,2017-06-16,15.2,31,1502,55.8,17.3
108,서울,2017-06-17,13.2,30,1519,52.3,15.3
108,서울,2017-06-18,12.8,25,1421,52,14.9
108,서울,2017-06-19,12.8,27,1752,50.9,14.9
108,서울,2017-06-20,12,26,1313,43.4,14.1
108,서울,2017-06-21,14.3,30,1214,52.6,16.4
108,서울,2017-06-22,15.7,36,1807,57.3,17.9
108,서울,2017-06-23,15.8,25,1248,53,17.9
108,서울,2017-06-24,15.8,40,1141,60.4,18.2
108,서울,2017-06-25,18.9,48,1333,75.4,21.8
108,서울,2017-06-26,18.3,43,1501,76.9,21.1
108,서울,2017-06-27,18.4,44,1243,67.5,21.2
108,서울,2017-06-28,18.3,44,1324,63.5,21
108,서울,2017-06-29,18.5,40,1523,64.8,21.3
108,서울,2017-06-30,18.6,40,1451,65.9,21.5
108,서울,2017-07-01,19.9,45,1413,73.6,23.3
108,서울,2017-07-02,22.6,81,1227,90.5,27.4
108,서울,2017-07-03,22.3,69,1316,87.6,27
108,서울,2017-07-04,21.4,51,1249,74.5,25.6
108,서울,2017-07-05,20.3,43,1409,66.9,23.8
108,서울,2017-07-06,21.5,39,1503,72.3,25.9
108,서울,2017-07-07,22.7,70,831,80.8,27.7
108,서울,2017-07-08,22.8,76,1525,83.3,27.8
108,서울,2017-07-09,24,66,1254,88,29.8
108,서울,2017-07-10,23.4,88,636,96.5,28.7
108,서울,2017-07-11,22.2,54,1547,81.4,26.9
108,서울,2017-07-12,22.2,54,1516,75.9,26.8
108,서울,2017-07-13,21.5,51,1313,71,25.7
108,서울,2017-07-14,22.1,49,1530,68.4,26.6
108,서울,2017-07-15,22.9,75,1113,89,28
108,서울,2017-07-16,22.9,64,1210,83.4,27.9
108,서울,2017-07-17,22.3,65,1058,77.3,26.9
108,서울,2017-07-18,22.7,60,1648,80.6,27.5
108,서울,2017-07-19,22.3,47,1425,71.4,26.9
108,서울,2017-07-20,22.6,46,1551,66.1,27.4
108,서울,2017-07-21,24.4,61,1401,73.1,30.5
108,서울,2017-07-22,24.4,59,1501,75.8,30.6
108,서울,2017-07-23,25,80,1,89.5,31.7
108,서울,2017-07-24,22.9,71,1618,82.3,27.9
108,서울,2017-07-25,21.3,38,1550,64.1,25.4
108,서울,2017-07-26,18.6,43,1359,55.6,21.5
108,서울,2017-07-27,19,45,950,62.5,22.1
108,서울,2017-07-28,24,86,2116,92.1,29.9
108,서울,2017-07-29,21.6,60,1635,72.3,25.8
108,서울,2017-07-30,20.3,42,1545,64.4,23.8
108,서울,2017-07-31,22.4,72,1,82.3,27.1
108,서울,2017-08-01,22.9,51,1431,73,28
108,서울,2017-08-02,24.2,55,1244,71.9,30.2
108,서울,2017-08-03,21.3,37,1436,60.6,25.4
108,서울,2017-08-04,21.4,38,1732,60.1,25.6
108,서울,2017-08-05,23.3,52,1215,63,28.7
108,서울,2017-08-06,24,54,1600,71.9,29.9
108,서울,2017-08-07,22.2,37,1608,68.1,26.9
108,서울,2017-08-08,21.2,43,1757,67.1,25.3
108,서울,2017-08-09,20.5,42,1523,66.4,24.1
108,서울,2017-08-10,23,83,1155,89.9,28.1
108,서울,2017-08-11,21.4,45,1514,72.5,25.5
108,서울,2017-08-12,19.1,43,1346,60.3,22.2
108,서울,2017-08-13,18.3,53,1752,62.1,21.1
108,서울,2017-08-14,18.1,60,1,67.5,20.9
108,서울,2017-08-15,20.8,68,117,93.8,24.5
108,서울,2017-08-16,19.6,67,1429,80.5,22.8
108,서울,2017-08-17,20.4,65,1303,77.1,24
108,서울,2017-08-18,21.4,54,1624,75.6,25.5
108,서울,2017-08-19,21.4,64,1443,75.8,25.4
108,서울,2017-08-20,22.4,79,1,95.6,27.1
108,서울,2017-08-21,22.2,65,1629,81.5,26.9
108,서울,2017-08-22,21.1,49,1714,70.6,25.1
108,서울,2017-08-23,24.2,73,1440,84.1,30.3
108,서울,2017-08-24,23.7,79,1758,85.3,29.4
108,서울,2017-08-25,16.2,19,1539,61.9,19
108,서울,2017-08-26,13.4,24,1259,54.5,15.7
108,서울,2017-08-27,14.9,44,1434,62,17
108,서울,2017-08-28,15.9,35,1157,73.1,18.2
108,서울,2017-08-29,8.3,32,1401,51.4,11.4
108,서울,2017-08-30,10.3,33,136,55.8,13.2
108,서울,2017-08-31,14,33,1630,62.4,16
