현장안전센터거리,시간단위기온,시간단위풍속,시간단위가시거리,lon,lat,실효습도,가스사용량(KWh),전기사용량(KWh),화재발생시각,인명피해확률,회귀예측,지수,등급,인덱스
2,-5.4,1.2,1826,126.8457767,37.5610799,49.709673,7925.583333,7925.583333,주간,6.058395796,80.38040897,22.06754023,2등급,82
1,-4.4,1.1,1899,126.9574799,37.5338453,49.709673,31358.25,31358.25,주간,6.696104708,78.49149848,22.92569067,2등급,83
2,-0.5,3.5,1783,127.0832653,37.5303344,49.709673,2550.666667,2550.666667,주간,7.177008931,77.77193712,23.6256193,2등급,84
0,-0.5,4.3,1938,126.9038677,37.5701672,49.709673,4379.083333,4379.083333,주간,11.00348876,72.78534033,28.30004724,2등급,85
1,0.7,4.1,1935,126.9032771,37.4660957,49.709673,3109,3109,주간,9.541504385,74.40539617,26.64468828,2등급,86
1,0.8,5.1,1915,126.9051997,37.4697207,49.709673,3194.416667,3194.416667,주간,9.968465281,74.0128371,27.16237097,2등급,87
2,-0.5,6.2,2000,126.9971646,37.5680561,49.709673,55177.58333,55177.58333,주간,7.693583587,76.99593444,24.33874807,2등급,88
3,-3.7,2.9,2000,126.9889938,37.4868381,49.709673,4344.25,4344.25,저녁,5.223601085,76.46885998,19.98606564,3등급,89
0,-4.5,5.6,2000,126.9932624,37.5630109,49.709673,9008,9008,저녁,9.305072092,69.7921895,25.48374687,2등급,90
1,-7,2.5,2000,127.0290947,37.6051027,49.709673,1438,1438,밤,80.20667858,13.15728054,32.48540859,2등급,91
2,-7.5,3.4,2000,127.0689876,37.5434865,48.564282,9395.166667,9395.166667,새벽,12.1504334,78.16089486,30.81702042,2등급,92
3,-7.8,1.3,2000,126.8710021,37.519576,48.564282,7337.416667,7337.416667,새벽,9.42551998,81.11307259,27.65018782,2등급,93
2,-9.1,1.2,2000,126.9630276,37.4739016,48.564282,17114.5,17114.5,주간,6.414177831,80.83732497,22.77070438,2등급,94
2,-9.1,1.2,2000,126.9724009,37.5576815,48.564282,34737.66667,34737.66667,주간,5.945965142,81.36610253,21.99545429,2등급,95
2,-9.4,0.7,2000,126.931188,37.6238776,48.564282,136.5,136.5,주간,6.684315751,80.65779292,23.21943487,2등급,96
1,-4.5,0.8,2000,127.070966,37.6340916,48.564282,5975.25,5975.25,주간,7.931691406,77.24686532,24.75274324,2등급,97
2,-4.5,0.8,2000,127.0846466,37.5567327,48.564282,7393.75,7393.75,주간,6.792721004,79.23093621,23.19900094,2등급,98
2,0.5,4.3,1933,127.0010043,37.5690489,48.564282,7349.833333,7349.833333,주간,8.288791594,76.31479624,25.15069465,2등급,99
1,-1.8,2.2,2000,126.9289381,37.5637645,48.564282,48909.5,48909.5,저녁,5.789854058,73.4862228,20.62703336,2등급,100
0,-2.8,2.5,2000,127.0804815,37.5990878,48.564282,8097.083333,8097.083333,저녁,8.075624409,70.50709014,23.86186871,2등급,101
1,-2.8,2.5,2000,127.044538,37.5668063,48.564282,15338.25,15338.25,저녁,6.748044709,72.6658683,22.14390499,2등급,102
1,-2.9,2.5,2000,127.0469829,37.4954978,48.564282,20153.875,20153.875,저녁,6.605055758,72.84297595,21.93471946,2등급,103
1,-2.7,1.1,2000,127.0572822,37.5739191,48.564282,10137.83333,10137.83333,밤,77.50345014,12.5235931,31.15480178,2등급,104
